2	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000474
87	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000299
7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000299
77	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000299
1	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000612
68	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327
3	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000474
1	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000526
370	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000001110000011100000111299
138	0000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000011110000111100001111108
40	0000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000011110000111100001111299
6	00000000000000000000000000000000000000000000000000000000000000000000000000000000299
117	00000000000000000000000000000000000000000000000000000000000000000000000000000000474
281	0000000000000000000000000000000000000000000000000000000000000000000000000000000065
6	000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000299
6	00000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000100000001299
1	0000000000000000000000000000000000000000000000000000000000000000000000000000000165
12	000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000299
1	00000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000010299
8	0000000000000000000000000000000000000000000000000000000000000000000000000000001065
12	000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000299
3	00000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000010000000100299
191	0000000000000000000000000000000000000000000000000000000000000000000000000000010065
5	0000000000000000000000000000000000000000000000000000000000000000000000000000010165
110	00000000000000000000000000000000000000000000000000000000000000000000000000000111000001110000011100000111299
13	000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000299
1	0000000000000000000000000000000000000000000000000000000000000000000000000000100065
20	00000000000000000000000000000000000000000000000000000000000000000000000000001111000011110000111100001111299
388	0000000000000000000000000000000000000000000000000000000000000000000000000000111165
1	00000000000000000000000000000000000000000000000000000000000000000000000001100000299
78	000000000000000000000000000000000000000000000000000000000000000000000000224
1576	000000000000000000000000000000000000000000000000000000000000000000000000299
8	000000000000000000000000000000000000000000000000000000000000000000000000328
