216	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327
3	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000474
6	00000000000000000000000000000000000000000000000000000000000000000000000000000000299
26	00000000000000000000000000000000000000000000000000000000000000000000000000000000474
49	000000000000000000000000000000000000000000000000000000000000000000000000299
5	000000000000000000000000000000000000000000000000000000000000000000000000359
3	00000000000000000000000000000000000000000000000000000000000000000000000065
248	0000000000000000000000000000000000000000000000000000000000000000299
23	0000000000000000000000000000000000000000000000000000000000000000474
3	0000000000000000000000000000000000000000000000000000000000000000602
109	00000000000000000000000000000000000000000000000000000000109
5	00000000000000000000000000000000000000000000000000000000266
20	00000000000000000000000000000000000000000000000000000000299
2	00000000000000000000000000000000000000000000000000000000327
2	00000000000000000000000000000000000000000000000000000000474
1	000000000000000000000000000000000000000000000000000000006
113	00000000000000000000000000000000000000000000000000000000612
2	0000000000000000000000000000000000000000000000000000000065
2	0000000000000000000000000000000000000000000000000000000074
1006	000000000000000000000000000000000000000000000000109
227	00000000000000000000000000000000000000000000000019
18	000000000000000000000000000000000000000000000000222
2	000000000000000000000000000000000000000000000000266
249	000000000000000000000000000000000000000000000000299
1	000000000000000000000000000000000000000000000000338
279611	000000000000000000000000000000000000000000000000359
161	000000000000000000000000000000000000000000000000474
1	0000000000000000000000000000000000000000000000005
7	000000000000000000000000000000000000000000000000526
3765	0000000000000000000000000000000000000000000000006
110	000000000000000000000000000000000000000000000000602
362	000000000000000000000000000000000000000000000000612
1	000000000000000000000000000000000000000000000000642
570	00000000000000000000000000000000000000000000000065
1	00000000000000000000000000000000000000000100000001000000612
1	000000000000000000000000000000000000000010000000100000001000000010000000299
9	000000000000000000000000000000000000000019
12	0000000000000000000000000000000000000000222
1387621	0000000000000000000000000000000000000000299
64	0000000000000000000000000000000000000000326
1	0000000000000000000000000000000000000000348
3048	0000000000000000000000000000000000000000359
79	0000000000000000000000000000000000000000474
3	0000000000000000000000000000000000000000526
2	0000000000000000000000000000000000000000554
27	0000000000000000000000000000000000000000555
819351	00000000000000000000000000000000000000006
3580	0000000000000000000000000000000000000000602
20	0000000000000000000000000000000000000000612
4	0000000000000000000000000000000000000000642
2505932	000000000000000000000000000000000000000065
1	0000000000000000000000000000000000010000000100000001000000010000474
1	00000000000000000000000000000000000100000001000000010000000100006
1	00000000000000000000000000000000100000000000000000000000299
1	00000000000000000000000000000000100000000000000065
2	0000000000000000000000000000000010000000299
2	0000000000000000000000000000000019
5	00000000000000000000000000000000266
6513125	00000000000000000000000000000000299
3530	00000000000000000000000000000000359
